2c969491/7aeb9413/017a/ec794740/008d;BAU210808;Karrié Bau GmbH & Co. KG;
2c969491/7bc3db12/017b/c420493b/00a9;MED210909;ZENDEL und ENGELMANN INGENIEURE Partnerschaft mbB;Büro Mainz
2c968186/67cbe214/0167/cbf2ab5b/089e;EHG00060;Erbacher Hof / Bistum Mainz;""
2c968186/67cbe214/0167/cbf28527/0672;BAU00599;Marco Theil & Richard Brain GbR;Die Steinmetze
2c96949d/91552bac/0191/5a3482e2/09ce;Bauunternehmung Müller;Müller Bauunternehmung GmbH;
2c96949b/7ae6d80c/017a/e6fe04c7/003d;ME0721;ORN-Worms;
2c968186/67cbe214/0167/cbf3463d/11bc;ME201144;Mercedes-Benz AG;Niederlassung Mainz
2c968186/67cbe214/0167/cbf332c5/10bd;BAU00618;Malerfachbetrieb Farb Design;""
2c9694ae/830d8fdd/0183/0da1ae44/0072;EHG9242152152;Da Luigi GmbH;
2c969491/7b82ee2a/017b/834fd972/0242;EL210913;Landbell AG für Rückhol Systeme;
2c968186/67cbe214/0167/cbf3c2ab/1936;ALLG00356;vlexx GmbH;""
2c968186/67cbe214/0167/cbf2e564/0c1d;BAU00553;Heinrich Schmid GmbH&Co.KG;Komplettbau
2c968186/67cbe214/0167/cbf3029f/0df6;EL000261;IWAGO Instandhaltungs GmbH;""
2c96949a/82c4171b/0182/f8352f16/0cab;EL3048490;Schick IT e.K.;
2c968186/67cbe214/0167/cbf3ccec/19ca;BAU201102;Wehmeyer-Bug;
2c9694a0/91b64828/0191/b745c330/11e7;Novotel Frankfurt City;Accorinvest Germany GmbH-Novotel Frankfurt City;
2c968186/67cbe214/0167/cbf22c9b/0177;BAU00532;ANO Faszination Handwerk;""
2c9694d5/7e9001dd/017e/90bfdf4f/058c;SMA;smartfox media group GmbH;
2c969491/7fe38595/017f/e45beea1/021c;BAU220403;Nazir Dzaferi;ND-BESA - Gartenbau & Bauunternehmen
2c9681f3/6ab4dc6d/016a/b573417e/04bc;EHG00407;Restaurant Pollers Häusje;
2c969491/8ab6a259/018a/bbf0603f/03fe;BAU230924;Alexander Schäfer;Fliesendesign Schäfer
2c968186/67cbe214/0167/cbf3ae69/17fc;BAU00479;Sturm Raumausstattung GmbH;
2c968186/67cbe214/0167/cbf341d8/119a;MED00416;medien+bildung.com gGmbH;Lernwerkstatt Rheinland-Pfalz
2c968186/67cbe214/0167/cbf3aabf/17c7;BAU00564;Steinmetzwerkstatt Tripp;""
2c968186/67cbe214/0167/cbf35c35/1309;EHG00058;NH Bingen;Rhein-Nahe-Eck
2c96949b/8963fe5b/0189/63ff1833/0002;MGDP-07-23;Herbert Gilroy & Söhne GmbH & Co. KG;
2c969491/7b739c92/017b/73cfc660/0090;MED210823;HORNBACH Baumarkt AG;
2c9681ec/6bd5834a/016b/d5853b30/0029;EHG00910;Christ Display GmbH;
2c9681ec/6bd58cd4/016b/d591073e/0042;BAU009013;Steinmetzbetrieb Conrad & Klammes Gbr;
2c968186/67cbe214/0167/cbf3c328/193e;MED00094;VMB Visuelle Medien Brunk;""
2c968186/67cbe214/0167/cbf33248/10b6;BAU00533;Malerbetrieb Winschermann;""
2c969491/8a4a51db/018a/4bf1e9b2/03b1;BAU230836;Dr. Pecher AG;
2c9681ec/6b8d2f36/016b/8dd67b54/05b2;BAU00905;F.A.B. Bau/Hausbau Gmbh;
2c968186/67cbe214/0167/cbf2aea6/08d6;MED00317;Etablissement public;Centre de Musiques amplifiées/ Rockhal
2c968186/67cbe214/0167/cbf3c22e/1930;MED00212;Vision Control Medien-&Filmproduktion;""
2c96949a/82c4171b/0182/c9ee8e76/02c2;EL094894;Strike Consulting GmbH;
2c968186/67cbe214/0167/cbf2e64e/0c2d;ALLG0138;Hellwig;""
2c968186/67cbe214/0167/cbf2e247/0bee;BAU00614;Hans-Jürgen Romeike;""
2c968186/67cbe214/0167/cbf3914d/1633;SchlemmerEHG00181;Schlemmer-House;
2c96949d/91552bac/0191/69cb481e/0d7c;Stratega;Stratega Websolutions e.K.;
