1027_24512003-FM;24512003-FM;Feinwerkmechaniker/Feinwerkmechanikerin - Schwerpunkt Feinmechanik;2c96949a/81ebbbe8/0181/ec7080a0/00de
1027_26122001;26122001;Elektroniker für Automatisierungstechnik/Elektronikerin für Automatisierungstechnik;2c96949a/88043d83/0188/05a804a7/0184
1027_26312005;26312005;Informationselektroniker/Informationselektronikerin;2c96949a/8a3b1fbe/018a/3b4f6123/03a4
1027_94532002;94532002;Mediengestalter Bild und Ton/Mediengestalterin Bild und Ton;2c96949d/88b891cb/0188/bde870fd/017b
1027_26213001;26213001;Elektroniker für Betriebstechnik/Elektronikerin für Betriebstechnik;2c969497/86c0bb5e/0186/c0c16e62/0005
1027_93312002-SB;93312002-SB;Steinmetz und Steinbildhauer/Steinmetzin und Steinbildhauerin - Fachrichtung Steinbildhauerarbeiten;
1027_94512001;94512001;Fachkraft für Veranstaltungstechnik;2c9694ae/8248c9f4/0182/4946a29a/0031
1027_43102002-SI-DS;43102002-SI-DS;Fachinformatiker/Fachinformatikerin - Fachrichtung Systemintegration (+ duales Studium);2c96e486/915515a9/0191/6fd88490/30cc
1027_29302004;29302004;Koch/Köchin;2c96e486/90fdef6a/0191/5054fc2f/688e
1027_26312005;26312005;Informationselektroniker/Informationselektronikerin;2c96e486/7acded71/017b/7c2bbf5b/0212
1027_26213001;26213001;Elektroniker für Betriebstechnik/Elektronikerin für Betriebstechnik;2c96949a/89256ac5/0189/25f54fc6/00e4
1027_99000100-BJ;99000100-BJ;BVJ;2c96949b/91e06449/0191/e632149f/00fa
1027_43412002-AE;43412002-AE;Fachinformatiker/Fachinformatikerin - Fachrichtung Anwendungsentwicklung;2c96949a/82c4171b/0182/ca484922/041f
1027_24512004-MB;24512004-MB;Feinwerkmechaniker/Feinwerkmechanikerin - Schwerpunkt Maschinenbau;
1027_94512001;94512001;Fachkraft für Veranstaltungstechnik;2c9694ae/8219fc4d/0182/1ad5c0fb/016a
1027_43102001-SI;43102001-SI;Fachinformatiker/Fachinformatikerin - Fachrichtung Systemintegration;2c96e486/915515a9/0191/6fd88630/32a1
1027_25212013-PT;25212013-PT;Kraftfahrzeugmechatroniker/Kraftfahrzeugmechatronikerin - Schwerpunkt Personenkraftwagentechnik;2c9681ec/73dcf49d/0173/dd354d22/0088
1027_94512001;94512001;Fachkraft für Veranstaltungstechnik;2c96949d/88b891cb/0188/bdfaf7f8/030d
1027_63302008-SG;63302008-SG;Fachkraft für Gastronomie - Schwerpunkt Systemgastronomie;2c9694ae/830d8fdd/0183/0d953e18/0011
1027_24512003-FM;24512003-FM;Feinwerkmechaniker/Feinwerkmechanikerin - Schwerpunkt Feinmechanik;2c96e486/7ac37826/017a/cce6d6c0/1709
