11712001;FOWI;Forstwirt/Forstwirtin;Forstwirt/Forstwirtin;1027_11712001
25212370-MO;KMMHMF;Kraftfahrzeugmechatroniker/in SP Motorradtechnik H;Kraftfahrzeugmechatroniker/in SP Motorradtechnik Handwerk;1027_25212370-MO
33302004;TBM;Trockenbaumonteur/Trockenbaumonteurin;Trockenbaumonteur/Trockenbaumonteurin;1027_33302004
23422004-BF;BUB-BF;Buchbinder/Buchbinderin  Buchfertigung (Serie);Buchbinder/Buchbinderin  Buchfertigung (Serie);1027_23422004-BF
21362030;VBOIRK;Verfahrensmechaniker/in für Brillenoptik;Verfahrensmechaniker/in für Brillenoptik;1027_21362030
73202003-LV;VFA-LV;Verwaltungsfachangestellter/Verwaltungsfachangeste;Verwaltungsfachangestellter/Verwaltungsfachangestellte - Fachrichtung Landesverwaltung;1027_73202003-LV
54132002;TRW;Textilreinigerwerker/Textilreinigerwerkerin;Textilreinigerwerker/Textilreinigerwerkerin;1027_54132002
25122004-TT;MAF-TT;Maschinen- und Anlagenführer/Maschinen- und Anlage;Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin - Schwerpunkt Textiltechnik;1027_25122004-TT
43232010;ISIIHK;IT-System-Kaufmann/Kauffrau Industrie und Handel (;IT-System-Kaufmann/Kauffrau Industrie und Handel (auslaufender Beruf);1027_43232010
23422370;FMBHPD;Fertigmacher/in im Buchbinderhandwerk (§42r HwO) (;Fertigmacher/in im Buchbinderhandwerk (§42r HwO) (36 Monate);1027_23422370
72133029-DS;KVFDSIFR;Kaufmann/Kauffrau für Versicherungen und Finanzen ;Kaufmann/Kauffrau für Versicherungen und Finanzen + duales Studium Industrie;1027_72133029-DS
23412330;SBHPD;Siebdrucker/in Handwerk;Siebdrucker/in Handwerk;1027_23412330
62102004;VKH;Verkaufshelfer/Verkaufshelferin;Verkaufshelfer/Verkaufshelferin;1027_62102004
82322310;KOSHNG;Kosmetiker/in Handwerk;Kosmetiker/in Handwerk;1027_82322310
61213019-DS;KGDSIEH;Kaufmann/Kauffrau im Groß- und Außenhandel + duale;Kaufmann/Kauffrau im Groß- und Außenhandel + duales Studium Industrie;1027_61213019-DS
26312010-DS;ITSE-DS;IT-System-Elektroniker/IT-System-Elektronikerin (+;IT-System-Elektroniker/IT-System-Elektronikerin (+ duales Studium);1027_26312010-DS
24202090;MWIMM;Metallwerker/in (§66 BBiG) (36 Monate) Industrie;Metallwerker/in (§66 BBiG) (36 Monate) Industrie;1027_24202090
63302004;FPGDE;Fachpraktiker im Gastgewerbe und in dienstleistung;Fachpraktiker im Gastgewerbe und in dienstleistungsorientierten Einrichtungen/Fachpraktikerin im Gastgewerbe und in dienstleistungsorientierten Einrichtungen;1027_63302004
29262012;FSKILM;Fachkraft für Süßwarentechnik FR Konfekt;Fachkraft für Süßwarentechnik FR Konfekt;1027_29262012
63302006;REFA;Restaurantfachmann/Restaurantfachfrau;Restaurantfachmann/Restaurantfachfrau;1027_63302006
93522010-ME;SS-ME;Silberschmied/Silberschmiedin - Schwerpunkt Metall;Silberschmied/Silberschmiedin - Schwerpunkt Metall;1027_93522010-ME
41323010-DS;CLDSIMB;Chemielaborant/in + duales Studium Industrie;Chemielaborant/in + duales Studium Industrie;1027_41323010-DS
99999079;FSMst-SB;FS Mst Steinbildhauer/-in und Steinmetz/-in;FS Mst Steinbildhauer/-in und Steinmetz/-in;1027_99999079
28112010;PTITL;Produktgestalter/in-Textil;Produktgestalter/in-Textil;1027_28112010
73252001;JFA;Justizfachangestellter/Justizfachangestellte;Justizfachangestellter/Justizfachangestellte;1027_73252001
29232350-PR;FPFLHLM;Fachpraktiker/in im Fleischerhandwerk (§42r HwO);Fachpraktiker/in im Fleischerhandwerk (§42r HwO);1027_29232350-PR
24132010;GWIMM;Gießereiwerker/in (§66 BBiG);Gießereiwerker/in (§66 BBiG);1027_24132010
24233190-DI;ZSMDSI;Zerspanungsmechaniker/in + duales Studium Industri;Zerspanungsmechaniker/in + duales Studium Industrie;1027_24233190-DI
26222001;ELMA;Elektroniker/Elektronikerin für Maschinen und Antr;Elektroniker/Elektronikerin für Maschinen und Antriebstechnik;1027_26222001
63212010;HKITH;Hotelkaufmann/-kauffrau;Hotelkaufmann/-kauffrau;1027_63212010
41422323;WPWH;Werkstoffprüfer/in FR Wärmebehandlungstechnik (Han;Werkstoffprüfer/in FR Wärmebehandlungstechnik (Handwerk);1027_41422323
22342040;FPKHKH;Fachpraktiker/in für Möbel-, Küchen- und Umzugsser;Fachpraktiker/in für Möbel-, Küchen- und Umzugsservice;1027_22342040
33312004;IFA;Isolierfacharbeiter/Isolierfacharbeiterin;Isolierfacharbeiter/Isolierfacharbeiterin;1027_33312004
41432010-GT;BSPIMB;Baustoffprüfer/in FR Geotechnik;Baustoffprüfer/in FR Geotechnik;1027_41432010-GT
41322008-TV;TL-TV;Textillaborant/Textillaborantin - Schwerpunkt Text;Textillaborant/Textillaborantin - Schwerpunkt Textilveredlung;1027_41322008-TV
23122003;PMT;Packmitteltechnologe/Packmitteltechnologin;Packmitteltechnologe/Packmitteltechnologin;1027_23122003
34312020;FKRKI;Fachkraft für Rohr-, Kanal- und Industrieservice;Fachkraft für Rohr-, Kanal- und Industrieservice;1027_34312020
24232190;ZMIMM;Zerspanungsmechaniker/in Industrie;Zerspanungsmechaniker/in Industrie;1027_24232190
25103030-DS;IMDSIMF;Industriemechaniker/in + duales Studium Industrie;Industriemechaniker/in + duales Studium Industrie;1027_25103030-DS
26122004-DS;ELAT-DS;Elektroniker für Automatisierungstechnik/Elektroni;Elektroniker für Automatisierungstechnik/Elektronikerin für Automatisierungstechnik (+ duales Studium);1027_26122004-DS
71402310;ISHUO;Bürokaufmann/-kauffrau Handwerk;Bürokaufmann/-kauffrau Handwerk;1027_71402310
24512330-FM;FMFHMM;Feinwerkmechaniker/in SP Feinmechanik;Feinwerkmechaniker/in SP Feinmechanik;1027_24512330-FM
34202001;KLP;Klempner/Klempnerin;Klempner/Klempnerin;1027_34202001
28242030;POITL;Polsterer/Polsterin;Polsterer/Polsterin;1027_28242030
63112030;TPGITH;Tourismuskaufmann/-kauffrau (Privat- und Geschäfts;Tourismuskaufmann/-kauffrau (Privat- und Geschäftsreisen);1027_63112030
33312030;IFAIAB;Isolierfacharbeiter/in;Isolierfacharbeiter/in;1027_33312030
27212079;TSPIFP;Technische/r Systemplaner/in (ohne FR-Angabe);Technische/r Systemplaner/in (ohne FR-Angabe);1027_27212079
72213001;FALF;Fachassistent Land- und Forstwirtschaft/Fachassist;Fachassistent Land- und Forstwirtschaft/Fachassistentin Land- und Forstwirtschaft;1027_72213001
22103053;VKDSMI;Verfahrensmechaniker/in für Kunststoff- und Kautsc;Verfahrensmechaniker/in für Kunststoff- und Kautschuktech.+duales Studium FR Mehrschichtkautschukteile Industrie;1027_22103053
83212007-LAD;HWS-LAD;Hauswirtschafter/Hauswirtschafterin - Schwerpunkt ;Hauswirtschafter/Hauswirtschafterin - Schwerpunkt ländlich-agrarische Dienstleistungen;1027_83212007-LAD
11222001-GH;TW-GH;Tierwirt/Tierwirtin - Fachrichtung Geflügelhaltung;Tierwirt/Tierwirtin - Fachrichtung Geflügelhaltung;1027_11222001-GH
24413389-DS;MBDSHMM;Metallbauer/in + duales Studium (ohne FR-Angabe) H;Metallbauer/in + duales Studium (ohne FR-Angabe) Handwerk;1027_24413389-DS
53112001;FKSS;Fachkraft für Schutz und Sicherheit;Fachkraft für Schutz und Sicherheit;1027_53112001
51312005;LFH;Lagerfachhelfer/Lagerfachhelferin;Lagerfachhelfer/Lagerfachhelferin;1027_51312005
71402003;BÜK;Bürokraft;Bürokraft;1027_71402003
99999013;FSG-KG;FS Gestaltung Fr Keramikgestaltung;FS Gestaltung Fr Keramikgestaltung;1027_99999013
41312040;PCIMB;Produktionsfachkraft Chemie Industrie;Produktionsfachkraft Chemie Industrie;1027_41312040
31212319-HW;VTHBA;Vermessungstechniker/in (ohne FR-Angabe) Handwerk;Vermessungstechniker/in (ohne FR-Angabe) Handwerk;1027_31212319-HW
26313320-DS;EGSDSHME;Elektroniker/in für Geräte und Systeme + duales St;Elektroniker/in für Geräte und Systeme + duales Studium Handwerk;1027_26313320-DS
54112370;FPGHWO;Fachpraktiker/in im Gebäudereinigerhandwerk (§42r ;Fachpraktiker/in im Gebäudereinigerhandwerk (§42r HwO);1027_54112370
29222004;FPBÄ;Fachpraktiker Bäcker/Fachpraktikerin Bäcker;Fachpraktiker Bäcker/Fachpraktikerin Bäcker;1027_29222004
21212007-STK;AM-STK;Aufbereitungsmechaniker/Aufbereitungsmechanikerin ;Aufbereitungsmechaniker/Aufbereitungsmechanikerin - Fachrichtung Steinkohle;1027_21212007-STK
62312331-BK;FVLBV;Fachverkäufer/in im Lebensmittelhandwerk SP Bäcker;Fachverkäufer/in im Lebensmittelhandwerk SP Bäckerei;1027_62312331-BK
29302905;FKKÜ;Fachkraft Küche;Fachkraft Küche;1027_29302905
22103346-FV;VKDSFH;Verfahrensmechaniker/in für Kunststoff- und Kautsc;Verfahrensmechaniker/in für Kunststoff- und Kautschuktech.+duales Studium FR Faserverbundtechnologie Handwerk;1027_22103346-FV
29262001-DB;FKST-DB;Fachkraft für Süßwarentechnik - Fachrichtung Dauer;Fachkraft für Süßwarentechnik - Fachrichtung Dauerbackwaren;1027_29262001-DB
22302340;HPHKH;Holzfachpraktiker/in (§66 BBiG/§42r HwO);Holzfachpraktiker/in (§66 BBiG/§42r HwO);1027_22302340
22302004;HFW;Holzfachwerker/Holzfachwerkerin;Holzfachwerker/Holzfachwerkerin;1027_22302004
28242003;PO;Polsterer/Polsterin;Polsterer/Polsterin;1027_28242003
54112380;FPGHRB;Fachpraktiker/in für Gebäudereiniger/in (§42r HwO);Fachpraktiker/in für Gebäudereiniger/in (§42r HwO);1027_54112380
53132310;WFMHSU;Werkfeuerwehrmann/Werkfeuerwehrfrau Handwerk;Werkfeuerwehrmann/Werkfeuerwehrfrau Handwerk;1027_53132310
12122617;GASLGF;Gärtner/in FR Staudengärtnerei;Gärtner/in FR Staudengärtnerei;1027_12122617
63302320;RFHTH;Restaurantfachmann/-fachfrau Handwerk;Restaurantfachmann/-fachfrau Handwerk;1027_63302320
11602001;HWB;Helfer im Weinbau/Helferin im Weinbau;Helfer im Weinbau/Helferin im Weinbau;1027_11602001
53142001;FBB;Fachangestellter für Bäderbetriebe/Fachangestellte;Fachangestellter für Bäderbetriebe/Fachangestellte für Bäderbetriebe;1027_53142001
93522020-ID;DSIIPK;Diamantschleifer/in SP Industriediamanten Industri;Diamantschleifer/in SP Industriediamanten Industrie;1027_93522020-ID
41422020;WPH;Werkstoffprüfer/in (Handwerk);Werkstoffprüfer/in (Handwerk);1027_41422020
23412007-FD;DR-FD;Drucker/Druckerin - Fachrichtung Flachdruck;Drucker/Druckerin - Fachrichtung Flachdruck;1027_23412007-FD
99999028;FSTe-ET-IT;FS Te Fr Elektrotechnik Sp Informationstechnik;FS Te Fr Elektrotechnik Sp Informationstechnik;1027_99999028
62512001;BUH;Buchhändler/Buchhändlerin;Buchhändler/Buchhändlerin;1027_62512001
26312012-IT;EL-IT;Elektroniker/Elektronikerin - Fachrichtung Informa;Elektroniker/Elektronikerin - Fachrichtung Informations- und Telekommunikationstechnik;1027_26312012-IT
73212001;FAD;Fachangestellter für Arbeitsmarktdienstleistungen/;Fachangestellter für Arbeitsmarktdienstleistungen/Fachangestellte für Arbeitsmarktdienstleistungen;1027_73212001
99999074;FSMst-IT;FS Mst Informationstechniker/-in;FS Mst Informationstechniker/-in;1027_99999074
